127.0.0.1 - - [17/Jul/2017:14:15:57 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:14:18:31 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:14:18:31 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:14:18:31 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:14:18:31 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
127.0.0.1 - - [17/Jul/2017:14:18:31 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1625
127.0.0.1 - - [17/Jul/2017:14:18:31 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:14:18:32 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [17/Jul/2017:14:21:56 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:14:21:57 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1683
127.0.0.1 - - [17/Jul/2017:14:22:19 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:14:22:19 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1685
127.0.0.1 - - [17/Jul/2017:14:23:56 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:14:23:56 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1739
127.0.0.1 - - [17/Jul/2017:14:23:57 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:14:23:57 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:14:23:57 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:14:23:57 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
127.0.0.1 - - [17/Jul/2017:14:23:57 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1739
